,baseline,attack
eneEff (kWh),6.327675313338899,2.928797391767086
powDem (kW),1.333524229491962,0.9039718372824601
TNotMet_Core (h),0.0,0.0
ChiRunTim (h),0.0,0.0
BoiRunTim (h),12.71936672758672,12.719366727592096
SupFanRunTim (h),12.999999999997817,13.000000000003194
CooTowRunTim (h),0.0,0.0
CHWPRunTim (h),0.0,0.0
CWPRunTim (h),0.0,0.0
HWPRunTim (h),12.71936672758672,12.719366727592096
ChiSwiTim,0.0,0.0
BoiSwiTim,2.0,2.0
SupFanSwiTim,2.0,2.0
CooTowSwiTim,0.0,0.0
CHWPSwiTim,0.0,0.0
CWPSwiTim,0.0,0.0
HWPSwiTim,2.0,2.0
